source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.02,ПК-11: проводить анализ результатов проведения эксперимен,ПК-11,"способностью проводить анализ результатов проведения экспериментов, осуществлять выбор оптимальных решений, подготавливать и составлять обзоры, отчеты и научные публикации",1.0,ПК-11,Архитектура и интеграция
ФГОС,09.04.02,ПК-12: прогнозировать развитие информационных систем и те,ПК-12,способностью прогнозировать развитие информационных систем и технологий,1.0,ПК-12,Архитектура и интеграция
ФГОС,09.04.02,ПК-14: разрабатывать методы решения нестандартных задач и,ПК-14,способностью разрабатывать методы решения нестандартных задач и новые методы решения традиционных задач,1.0,ПК-14,Разработка ПО
ФГОС,09.04.02,ПК-15: воспроизводить знания для практической реализации,ПК-15,готовностью воспроизводить знания для практической реализации новшеств,1.0,ПК-15,Разработка ПО
ФГОС,09.04.02,ПК-16: осуществлять подготовку и обучение персонала,ПК-16,готовностью осуществлять подготовку и обучение персонала,1.0,ПК-16,Инфраструктура и DevOps
ФГОС,09.04.04,"ОПК-1: культурой мышления, способностью выстраивать логик",ОПК-1,"культурой мышления, способностью выстраивать логику рассуждений и высказываний, основанных на интерпретации данных, интегрированных их разных областей науки и техники, выносить суждения на основании неполных данных",1.0,ОПК-1,Основы информатики
ФГОС,09.04.04,ОПК-2: анализировать и оценивать уровни своих компетенций,ОПК-2,способностью анализировать и оценивать уровни своих компетенций в сочетании со способностью и готовностью к саморегулированию дальнейшего образования и профессиональной мобильности,1.0,ОПК-2,Образование и саморазвитие
ФГОС,09.04.04,"ОПК-3: владением, по крайней мере, одним из иностранных я",ОПК-3,"владением, по крайней мере, одним из иностранных языков на уровне социального и профессионального общения, способностью применять специальную лексику и профессиональную терминологию языка",1.0,ОПК-3,Основы информатики
ФГОС,09.04.04,"ОПК-4: методами и средствами получения, хранения, перераб",ОПК-4,"владением методами и средствами получения, хранения, переработки и трансляции информации посредством современных компьютерных технологий, в том числе, в глобальных компьютерных сетях",1.0,ОПК-4,Инфраструктура и DevOps
ФГОС,09.04.04,"ОПК-5: анализировать профессиональную информацию, выделят",ОПК-5,"способностью анализировать профессиональную информацию, выделять в ней главное, структурировать, оформлять и представлять в виде аналитических обзоров с обоснованными выводами и рекомендациями",1.0,ОПК-5,Анализ и системное проектирование
