source,direction,category,code,description,count,normalized_code
ФГОС,09.04.01,ПК,ПК-14,"способностью к созданию программного обеспечения для анализа, распознавания и обработки информации, систем цифровой обработки сигналов",1,ПК-14
ФГОС,09.04.01,ПК,ПК-15,способностью к созданию служб сетевых протоколов,1,ПК-15
ФГОС,09.04.01,ПК,ПК-16,способностью к организации промышленного тестирования создаваемого программного обеспечения,1,ПК-16
ФГОС,09.04.01,ПК,ПК-17,способностью к разработке программного обеспечения для создания трехмерных изображений,1,ПК-17
ФГОС,09.04.01,ПК,ПК-18,"способностью к применению современных технологий разработки программных комплексов с использованием CASE-средств, контролировать качество разрабатываемых программных продуктов",1,ПК-18
ФГОС,02.04.03,ОПК,ОПК-1,"готовностью руководить коллективом в сфере своей профессиональной деятельности, толерантно воспринимая социальные, этнические, конфессиональные и культурные различия",1,ОПК-1
ФГОС,02.04.03,ОПК,ОПК-2,способностью публично представить собственные и известные научные результаты,1,ОПК-2
ФГОС,02.04.03,ОПК,ОПК-3,"владением теоретическими основами информатики как науки; знание проблем современной информатики, ее категории и связи с другими научными дисциплинами, понимание основных этапов и тенденции развития программирования, математического обеспечения и информационных, технологий",1,ОПК-3
ФГОС,02.04.03,ОПК,ОПК-4,"владением основными методами и средствами автоматизации проектирования, производства, испытаний и оценки качества программного обеспечения",1,ОПК-4
ФГОС,02.04.03,ОПК,ОПК-5,"владением основными концептуальными положениями функционального, рекурсивного, логического, объектно-ориентированного и визуального направлений программирования, методами и средствами разработки программ в рамках этих направлений",1,ОПК-5
ФГОС,02.04.03,ОПК,ОПК-6,"владением архитектурой, алгоритмами функционирования систем реального времени и методами проектирования их программного обеспечения",1,ОПК-6
ФГОС,02.04.03,ОПК,ОПК-7,"владением навыками использования современных системных программных средств: операционных систем, операционных и сетевых оболочек, сервисных программ",1,ОПК-7
ФГОС,02.04.03,ОПК,ОПК-8,владением навыками разработки моделирующих алгоритмов и реализации их на базе языков и пакетов прикладных программ моделирования,1,ОПК-8
ФГОС,02.04.03,ОПК,ОПК-9,владением навыками использования основных моделей информационных технологий и способов их применения для решения задач в предметных областях,1,ОПК-9
ФГОС,02.04.03,ОПК,ОПК-10,"владением навыками выбора архитектуры и комплексирования современных компьютеров, систем, комплексов и сетей системного администрирования",1,ОПК-10
